mes_any,mes,any,be,codi_be,sub_be,codi_sub,export,import
03/1998,3,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,182,189.3
02/1998,2,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,166.3,157.6
01/1998,1,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,154.5,153.6
02/2024,2,2024,Béns de consum,BCO,Altres béns de consum,ACO,2576,2105.3
01/2024,1,2024,Béns de consum,BCO,Altres béns de consum,ACO,2155.8,2110.7
12/2023,12,2023,Béns de consum,BCO,Altres béns de consum,ACO,1921.8,2123.3
11/2023,11,2023,Béns de consum,BCO,Altres béns de consum,ACO,2694.5,2463.6
10/2023,10,2023,Béns de consum,BCO,Altres béns de consum,ACO,2526.6,2292.5
09/2023,9,2023,Béns de consum,BCO,Altres béns de consum,ACO,2215.4,2201.1
08/2023,8,2023,Béns de consum,BCO,Altres béns de consum,ACO,2051.6,2153.9
07/2023,7,2023,Béns de consum,BCO,Altres béns de consum,ACO,2254.5,2511.1
06/2023,6,2023,Béns de consum,BCO,Altres béns de consum,ACO,2597.7,2387.3
05/2023,5,2023,Béns de consum,BCO,Altres béns de consum,ACO,2472.5,2552.6
04/2023,4,2023,Béns de consum,BCO,Altres béns de consum,ACO,2203.3,2307.6
03/2023,3,2023,Béns de consum,BCO,Altres béns de consum,ACO,2463.3,2672.1
02/2023,2,2023,Béns de consum,BCO,Altres béns de consum,ACO,2205.7,2375.8
01/2023,1,2023,Béns de consum,BCO,Altres béns de consum,ACO,1910.7,2402.1
12/2022,12,2022,Béns de consum,BCO,Altres béns de consum,ACO,2692.7,2419.6
11/2022,11,2022,Béns de consum,BCO,Altres béns de consum,ACO,2640.3,2531.1
10/2022,10,2022,Béns de consum,BCO,Altres béns de consum,ACO,2018.8,2339.9
09/2022,9,2022,Béns de consum,BCO,Altres béns de consum,ACO,2263.3,2647.9
08/2022,8,2022,Béns de consum,BCO,Altres béns de consum,ACO,1666.2,2124.4
07/2022,7,2022,Béns de consum,BCO,Altres béns de consum,ACO,1657.8,2068.9
06/2022,6,2022,Béns de consum,BCO,Altres béns de consum,ACO,1853,2053
05/2022,5,2022,Béns de consum,BCO,Altres béns de consum,ACO,1855.3,2161.7
04/2022,4,2022,Béns de consum,BCO,Altres béns de consum,ACO,1804.2,1920.5
03/2022,3,2022,Béns de consum,BCO,Altres béns de consum,ACO,1944.7,2079.5
02/2022,2,2022,Béns de consum,BCO,Altres béns de consum,ACO,1723.5,1995.8
01/2022,1,2022,Béns de consum,BCO,Altres béns de consum,ACO,1424.6,1771.8
12/2021,12,2021,Béns de consum,BCO,Altres béns de consum,ACO,1520.8,2099
11/2021,11,2021,Béns de consum,BCO,Altres béns de consum,ACO,1972.5,2314
10/2021,10,2021,Béns de consum,BCO,Altres béns de consum,ACO,1736.7,1787.9
09/2021,9,2021,Béns de consum,BCO,Altres béns de consum,ACO,1417.6,1887.1
08/2021,8,2021,Béns de consum,BCO,Altres béns de consum,ACO,1282.5,1514.3
07/2021,7,2021,Béns de consum,BCO,Altres béns de consum,ACO,1586.5,1638.9
06/2021,6,2021,Béns de consum,BCO,Altres béns de consum,ACO,1645.5,1711
05/2021,5,2021,Béns de consum,BCO,Altres béns de consum,ACO,1673.4,1663.4
04/2021,4,2021,Béns de consum,BCO,Altres béns de consum,ACO,1666.6,1745.4
03/2021,3,2021,Béns de consum,BCO,Altres béns de consum,ACO,1968.7,1866.4
02/2021,2,2021,Béns de consum,BCO,Altres béns de consum,ACO,1674.7,1670.2
01/2021,1,2021,Béns de consum,BCO,Altres béns de consum,ACO,1340.7,1429
12/2020,12,2020,Béns de consum,BCO,Altres béns de consum,ACO,1536.3,1652.5
11/2020,11,2020,Béns de consum,BCO,Altres béns de consum,ACO,1947.7,1794.9
10/2020,10,2020,Béns de consum,BCO,Altres béns de consum,ACO,1863.9,2047.2
09/2020,9,2020,Béns de consum,BCO,Altres béns de consum,ACO,1640.7,1900.2
08/2020,8,2020,Béns de consum,BCO,Altres béns de consum,ACO,1098.8,1473.2
07/2020,7,2020,Béns de consum,BCO,Altres béns de consum,ACO,1600.8,1640.4
06/2020,6,2020,Béns de consum,BCO,Altres béns de consum,ACO,1299,1404
05/2020,5,2020,Béns de consum,BCO,Altres béns de consum,ACO,863.6,893.9
